K,pooling_ratio,edge_ratio,reward,id,dataset,lr,dropout_ratio,num_layers,batch_size,weight_decay
2,0.4262760647680321,0.8777379586553808,0.8303571428571429,mu3H9,PROTEINS,0.001,0.29969354033127227,5,64,0
2,0.6658816570424153,0.8866464381239068,0.8035714285714286,IVAHP,PROTEINS,0.001,0.5797575549307876,5,64,0
2,0.3044122350302322,0.7242507644477281,0.8125,VaSAn,PROTEINS,0.001,0.3025166884536848,5,64,0
2,0.10430139785015219,0.8895850796121783,0.8392857142857143,lJft1,PROTEINS,0.001,0.6223350356947794,5,64,0
2,0.7843241617332195,0.8204198693560658,0.7857142857142857,NvXvd,PROTEINS,0.001,0.3018633089065645,5,64,0
2,0.3044653888623924,0.8829094822278207,0.8214285714285714,Yv0rJ,PROTEINS,0.001,0.3822304963216847,5,64,0
2,0.7570191136313117,0.827893761526925,0.8214285714285714,hJkRT,PROTEINS,0.001,0.30351923146537935,5,64,0
2,0.7029418034422525,0.8525508271344089,0.8125,oXJZD,PROTEINS,0.001,0.30153475123637163,5,64,0
2,0.7587468163167266,0.8892571714135321,0.8214285714285714,DrNT3,PROTEINS,0.001,0.5794930707685675,5,64,0
2,0.31046489092877383,0.8270023156108713,0.7857142857142857,Ybo33,PROTEINS,0.001,0.04552982228378322,5,64,0
2,0.311173958027274,0.7034215959016538,0.8482142857142857,ys9w1,PROTEINS,0.001,0.42064719822664476,5,64,0.0001
4,0.7521022329541525,0.8244143036298175,0.7946428571428571,wMLdu,PROTEINS,0.001,0.6094607035746603,5,64,0.0001
2,0.3017069531767953,0.8512683844881401,0.8214285714285714,jAvtO,PROTEINS,0.001,0.6085277849640578,5,64,0.0001
