id,weight_decay,batch_size,reward,dataset,dropout_ratio,lr,edge_ratio,pooling_ratio,num_layers,K
uDFXh,0,256,0.7898550724637681,NCI109,0,0.001,0.6224983076593897,0.8324671744903408,3,4
ToxUB,0,256,0.7632850241545893,NCI109,0,0.001,0.7803766062272686,0.47793975809642814,4,4
lYUIE,0,256,0.782608695652174,NCI109,0,0.001,0.8954396520365402,0.6921890990975661,4,4
tZtap,0,256,0.7681159420289855,NCI109,0,0.001,0.7665395195948521,0.4769996985798175,4,4
EZak6,0,256,0.7898550724637681,NCI109,0,0.001,0.6783632129644621,0.6906271390774755,4,4
Qcbza,0,256,0.7632850241545893,NCI109,0,0.001,0.8931905035173373,0.4907898141082684,4,4
RP2tR,0,256,0.7729468599033816,NCI109,0,0.001,0.887015712192568,0.47855543518919036,4,4
S8rIk,0,256,0.782608695652174,NCI109,0,0.001,0.7696938825536486,0.47065754135472276,4,4
F9POp,0,256,0.7657004830917874,NCI109,0,0.001,0.8999825380350239,0.48952156448621076,4,4
oxXKv,0,256,0.7753623188405797,NCI109,0,0.001,0.7709432696847084,0.6916788481627463,4,3
qmtVq,0,256,0.7995169082125604,NCI109,0,0.001,0.7698162088842877,0.6975808690032264,4,3
INeve,0,256,0.7777777777777778,NCI109,0,0.001,0.9211690659833487,0.8367851134402318,4,3
S0Vja,0,256,0.7777777777777778,NCI109,0,0.001,0.9104606792281549,0.2901695859619881,4,3
hYu0e,0,256,0.7995169082125604,NCI109,0,0.001,0.758865016998497,0.8336761204353526,4,3
DAAOV,0,256,0.782608695652174,NCI109,0,0.001,0.7708146195844364,0.2976815551379461,4,3
D1FOM,0,256,0.7681159420289855,NCI109,0,0.001,0.6743008024793142,0.8329882289216344,4,3
RdBcT,0,256,0.8236714975845411,NCI109,0,0.001,0.6789342050503835,0.8415868386404055,4,3
UG0YB,0,256,0.8188405797101449,NCI109,0,0.001,0.6812454493398415,0.6642492407976142,4,3
z9d2h,0,256,0.7294685990338164,NCI109,0,0.001,0.4641755489740507,0.29041634595384164,4,3
X6D79,0,256,0.7584541062801933,NCI109,0,0.001,0.5285072585833535,0.2974569727518178,4,3
d6KIm,0,256,0.782608695652174,NCI109,0,0.001,0.7390439043343087,0.26388321961218786,4,3
BJjPZ,0,256,0.7971014492753623,NCI109,0,0.001,0.5125088072630011,0.7858163096862183,4,3
