pooling_ratio,num_layers,dataset,dropout_ratio,weight_decay,K,lr,batch_size,edge_ratio,reward,id
0.7954918084875575,5,FRANKENSTEIN,0,0,1,0.001,256,0.20999739275021112,0.5678160919540229,clySb
0.6540537645911949,5,FRANKENSTEIN,0,0,1,0.001,256,0.49209742328054107,0.5701149425287356,jfpcx
0.7707787655438775,5,FRANKENSTEIN,0,0,1,0.001,256,0.5051386009543897,0.5632183908045977,sQc8e
0.6431711343957673,5,FRANKENSTEIN,0,0,1,0.001,256,0.23177823608469822,0.5678160919540229,wpR2M
0.5645673819862674,5,FRANKENSTEIN,0,0,1,0.001,256,0.22007170480864874,0.5632183908045977,NvRM3
0.6537268460095225,5,FRANKENSTEIN,0,0,1,0.001,256,0.2071411218236744,0.5609195402298851,GiyMV
0.6530031381977387,5,FRANKENSTEIN,0,0,1,0.001,256,0.21547006823295475,0.5885057471264368,uQyht
0.6572681209280099,5,FRANKENSTEIN,0,0,2,0.001,256,0.23749559598652925,0.6160919540229886,Q9LMN
0.5725545234939123,5,FRANKENSTEIN,0,0,1,0.001,256,0.21622376606025817,0.5724137931034483,hTzNJ
0.7637101390454978,5,FRANKENSTEIN,0,0,2,0.001,256,0.22786453219014796,0.6459770114942529,OCJpb
0.64297118846884,5,FRANKENSTEIN,0,0,2,0.001,256,0.2044148581725635,0.6068965517241379,Cm7L1
0.6482243662960618,5,FRANKENSTEIN,0,0,2,0.001,256,0.23681031419371007,0.632183908045977,CFrHD
0.6605816701228179,5,FRANKENSTEIN,0,0,2,0.001,256,0.22625287186315948,0.6298850574712643,Cg2bv
0.6672833898084027,5,FRANKENSTEIN,0,0,2,0.001,256,0.2064972608476009,0.6482758620689655,Y0bNh
0.567502681088642,5,FRANKENSTEIN,0,0,2,0.001,256,0.21386234937862264,0.6758620689655173,RmZhN
0.5658005030346466,5,FRANKENSTEIN,0,0,2,0.001,256,0.22477928817815163,0.671264367816092,htBmI
0.5833160861048541,5,FRANKENSTEIN,0,0,2,0.001,256,0.23620091227545492,0.6436781609195402,Rlq5v
0.5936063918814869,5,FRANKENSTEIN,0,0,2,0.001,256,0.24195032866764066,0.671264367816092,nTRL0
0.6666015339690001,4,FRANKENSTEIN,0,0,2,0.001,256,0.4518751078405273,0.6459770114942529,Y6npH
0.5955600360620412,4,FRANKENSTEIN,0,0,2,0.001,256,0.45505332714619107,0.6436781609195402,LtzZ6
0.668398867845603,4,FRANKENSTEIN,0,0,2,0.001,256,0.43491327376306366,0.6344827586206897,NwH6W
0.749005668502875,4,FRANKENSTEIN,0,0,2,0.001,256,0.4531166691320758,0.6367816091954023,dsmFM
0.5977996855098188,4,FRANKENSTEIN,0,0,2,0.001,256,0.4516895281343916,0.6367816091954023,Mbb80
0.753913398496459,4,FRANKENSTEIN,0,0,2,0.001,256,0.4383594990330978,0.6413793103448275,uyYmM
0.5958279676666032,4,FRANKENSTEIN,0,0,3,0.001,256,0.43391794640293635,0.6827586206896552,JUPjV
0.5418480286827099,4,FRANKENSTEIN,0,0,3,0.001,256,0.44966180382253673,0.6551724137931034,AmTwX
0.6721108514327514,4,FRANKENSTEIN,0,0,3,0.001,256,0.46089407567602836,0.6528735632183909,s0eao
0.6103895686170802,4,FRANKENSTEIN,0,0,3,0.001,256,0.4575429720126648,0.6781609195402298,dACHy
0.7511640946056548,4,FRANKENSTEIN,0,0,3,0.001,256,0.41977785401344253,0.6574712643678161,xHvR9
0.5934330949002515,3,FRANKENSTEIN,0,0,3,0.001,256,0.4507418224526569,0.6344827586206897,fR3kc
0.6073580123834483,4,FRANKENSTEIN,0,0,3,0.001,256,0.4432982419059602,0.6528735632183909,kDEIL
0.6056270663956167,4,FRANKENSTEIN,0,0,3,0.001,256,0.44904028072365126,0.6597701149425287,V27dw
0.6115543883251657,4,FRANKENSTEIN,0,0,3,0.001,256,0.561724775367817,0.6505747126436782,diftB
0.5271188761199473,4,FRANKENSTEIN,0,0,3,0.001,256,0.41384149868504916,0.664367816091954,wpfJW
0.35088307890212195,3,FRANKENSTEIN,0,0,3,0.001,256,0.6406913298685387,0.6528735632183909,k692I
0.6951557634829486,3,FRANKENSTEIN,0,0,3,0.001,256,0.6722420113214544,0.6735632183908046,u2evU
0.5150593746110504,3,FRANKENSTEIN,0,0,3,0.001,256,0.5630357423833483,0.6689655172413793,fc34G
0.5233979063254375,3,FRANKENSTEIN,0,0,3,0.001,256,0.6356975387381694,0.6620689655172414,S0z2Q
0.3352939433793207,3,FRANKENSTEIN,0,0,3,0.001,256,0.5563305867834556,0.6505747126436782,m0Ge9
0.5422557423224547,3,FRANKENSTEIN,0,0,3,0.001,256,0.404703124378692,0.6666666666666666,x3ASH
0.6139798916560425,3,FRANKENSTEIN,0,0,3,0.001,256,0.662125113449961,0.6689655172413793,rTB8E
0.7006619260599383,6,FRANKENSTEIN,0,0,3,0.001,256,0.4003801019781327,0.6482758620689655,KNUEm
0.10108576747441977,6,FRANKENSTEIN,0,0,3,0.001,256,0.41146511933091334,0.6275862068965518,Kh5Nk
0.36668689902395185,6,FRANKENSTEIN,0,0,3,0.001,256,0.41266042288262966,0.6597701149425287,ZTYsK
0.3666700419060125,6,FRANKENSTEIN,0,0,3,0.001,256,0.5532812833924514,0.6620689655172414,ScXfm
0.6945649987735566,6,FRANKENSTEIN,0,0,3,0.001,256,0.628227513147678,0.6574712643678161,XTAXw
0.6964523512058591,6,FRANKENSTEIN,0,0,3,0.001,256,0.5694056632222791,0.6574712643678161,HqdA8
0.5144912836720241,6,FRANKENSTEIN,0,0,3,0.001,256,0.6465217051611918,0.6574712643678161,ZGQdJ
0.7028948952708287,6,FRANKENSTEIN,0,0,3,0.001,256,0.3956907429074521,0.6528735632183909,EBJuv
0.7819797985431696,6,FRANKENSTEIN,0,0,3,0.001,256,0.7429543757915738,0.696551724137931,KgwnA
0.6979072532590019,6,FRANKENSTEIN,0,0,3,0.001,256,0.7710888370634572,0.6505747126436782,ACdjo
0.701027269816257,6,FRANKENSTEIN,0,0,3,0.001,256,0.3000695420182761,0.6620689655172414,sDq6d
0.691644776408423,6,FRANKENSTEIN,0,0,3,0.001,256,0.7472491327192472,0.6689655172413793,sNlA2
0.6284156469212152,6,FRANKENSTEIN,0,0,4,0.001,256,0.4053473437312394,0.639080459770115,gumqX
0.7838263038365405,6,FRANKENSTEIN,0,0,4,0.001,256,0.39927868308717407,0.6528735632183909,G0cqN
0.8454512657830746,6,FRANKENSTEIN,0,0,4,0.001,256,0.7083376747208601,0.6827586206896552,SeJWw
0.8585685926799245,6,FRANKENSTEIN,0,0,4,0.001,256,0.707256923604457,0.6804597701149425,qHwi6
0.24420102906209423,6,FRANKENSTEIN,0,0,4,0.001,256,0.2983924000571223,0.6620689655172414,svh5R
0.7825354395701527,5,FRANKENSTEIN,0,0,4,0.001,256,0.5303820649510574,0.6827586206896552,w3VaF
0.8661302021777812,5,FRANKENSTEIN,0,0,4,0.001,256,0.7160531159526343,0.6781609195402298,fpXuf
0.1849037655229676,5,FRANKENSTEIN,0,0,4,0.001,256,0.29537543018111817,0.6689655172413793,oOtdc
0.8665049365932065,5,FRANKENSTEIN,0,0,4,0.001,256,0.2969071792202054,0.6804597701149425,qu560
