dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.6057413013998365,64,0.001,0,alImm,0.7946428571428571,5,0.17166623641759798,3
PROTEINS,0.5970692069898191,64,0.001,0,Ooe0d,0.8214285714285714,5,0.1786117997608254,3
PROTEINS,0.6044215039963226,64,0.001,0,vA6ug,0.8125,5,0.1798713029191092,3
PROTEINS,0.6015582239083979,64,0.001,0,tsuyW,0.8214285714285714,6,0.2123303097287259,3
PROTEINS,0.6060670517915777,64,0.001,0,CMmsN,0.8035714285714286,6,0.16988656804741287,3
PROTEINS,0.6118836340381012,64,0.001,0,AnIVj,0.8303571428571429,6,0.8992726286249347,3
PROTEINS,0.6008157866454489,64,0.001,0,G75sb,0.8392857142857143,6,0.17006751458104313,3
PROTEINS,0.5922640162739986,64,0.001,0,JGTR5,0.8303571428571429,5,0.16011398505754232,3
PROTEINS,0.6241934816181811,64,0.001,0,zEODx,0.7857142857142857,5,0.19072356785366135,3
PROTEINS,0.6107419757106438,64,0.001,0,ZPnsM,0.8214285714285714,5,0.16505451746004868,3
PROTEINS,0.6184553260602449,64,0.001,0.0001,sfUux,0.7857142857142857,2,0.17502261213939696,3
PROTEINS,0.6252078897179633,64,0.001,0,sHSfl,0.8125,5,0.16874120394624215,3
PROTEINS,0.6177501958068956,64,0.001,0,k9dfR,0.8392857142857143,5,0.050468893400427595,3
PROTEINS,0.6139775113988025,64,0.001,0,XyJFX,0.8482142857142857,6,0.16802303616760658,3
PROTEINS,0.6188526732294172,64,0.001,0,DgJxC,0.8214285714285714,6,0.1571632413049612,3
PROTEINS,0.6180307805080116,64,0.001,0,fyqOI,0.7678571428571429,5,0.16871987575040753,3
PROTEINS,0.6329936408257605,64,0.001,0,kg9Es,0.8392857142857143,5,0.16752917943341644,3
PROTEINS,0.631752913872597,64,0.001,0.001,z32Ix,0.7946428571428571,2,0.8999547887720305,3
PROTEINS,0.6288984604747823,64,0.001,0.001,mOl00,0.8035714285714286,2,0.16734780274773103,3
PROTEINS,0.615854474691702,64,0.001,0.001,uaKat,0.8125,2,0.8907307975167811,3
PROTEINS,0.659939453596757,64,0.001,0.001,qNZxO,0.8303571428571429,2,0.8998496063632343,3
PROTEINS,0.6535832852417938,64,0.001,0.001,Bq6JY,0.8214285714285714,2,0.8705957328923091,3
PROTEINS,0.1,64,0.001,0,eBue5,0.8303571428571429,5,0.32,2
PROTEINS,0.6092988321639123,64,0.001,0,JiL9F,0.8303571428571429,2,0.17317764099175997,3
PROTEINS,0.34,64,0.001,0,PpX6U,0.7857142857142857,3,0.41,2
PROTEINS,0.6460936898024233,64,0.001,0,n0jiG,0.7946428571428571,3,0.8961962775521324,3
PROTEINS,0.6532897911224144,64,0.001,0,CAjgp,0.8303571428571429,3,0.49874989814613074,3
PROTEINS,0.6641167270056734,64,0.001,0,YhIk5,0.8214285714285714,6,0.16904360608847935,2
PROTEINS,0.6593566040793342,64,0.001,0,tFt3o,0.7946428571428571,6,0.15930814626388218,2
